BB Name,BB Tags(s),Functional Clusters,Layer,Known Implementation,ID (unique name),Description,Rationale,Governance Applicable S-BB(s),Compose BB(s),What is needed to Design and Implement,What is needed to build and run,Non-Functional Requirements,Dependencies to other Clusters,Vehicle API Relevant,Author/Company,Priority,Related Project(s),Availability of Source Code,Availability of API,Potential obstacles,Maturity Badges,Expert Discussion Status,What is needed to design and implement,Dependencies to other clusters,Vehicle API relevant,Author/Company + Prio,Related project(s),Availability of code,Reference to FEDERATE SDV repository - Open Toolchain(s),Availability of Code,Availability of Api
Driver Monitor,BB-CSC,Not specified,Not specified,,,Monitors attention and potentially medical condiion of drivers,,,,,,,,,,,,,,,,,,,,,,,,,
End-to-end security for C2X,BB-CSC,Not specified,Not specified,,,End-to-end security for C2X consistent with global regulation,,,,,,,,,,,,,,,,,,,,,,,,,
Extended accident data recorder,BB-CSC,Not specified,Not specified,,,(extending EDR = event data recorder) to better analyse accidents,,,,,,,,,,,,,,,,,,,,,,,,,
Monitoring and tracing specific HW in vehicle,BB-CSC,Not specified,Not specified,,,"To monitor, profile, collect HW-specific information to improve next-gen HW",,,,,,,,,,,,,,,,,,,,,,,,,
Orchestration support for energy and mobility providers,BB-CSC,Not specified,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secure and privacy aware voice assistant,BB-CSC,Not specified,Not specified,,,Secure and privacy aware voice assistant,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle data streaming,BB-CSC,Not specified,Not specified,,,Stream info from vehicle displays (e.g. dashboard) to mobile devices,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle monitor,BB-CSC,Not specified,Not specified,,,Monitors condition of components and parts of the vehicle to support. (e.g. predictive maintenance),,,,,,,,,,,,,,,,,,,,,,,,,
DocAsCode,BB-EST,Requirements,None,[Open Fast Trace](https://github.com/itsallcode/openfasttrace),,This BB aims to track and manage the software requirements of the different variants of the source code.,"Several model based approaches for systems engineering and methods and tools are already established and state-of-the-art and available on the market, as well established in other industries (avionics, defense, etc.). The challenge in the automotive sector lies strongly in the variety of variants.  Driven by different product variants and the possibility of choice by the customer, this results in a high degree of combinatorics and almost exponential complexity in the subsystems.  In contrast to other industries, the automotive market with high international competition and price pressure, a wide variety of variants, functional safety and security with very long product life cycles of the vehicles in the field and the necessary software updates and hardware upgrades come together. It has become apparent that most complex, tool-based approaches to managing software requirements cannot keep pace with the capabilities of modern software development through git with the inherent capabilities of code management and automation.  If the source code of the systems is maintained in variants (branches) and developed by means of CI/CD (Continuous Integration & Development) up to the control unit, the software requirements must also be manageable and versionable, just like the source code. This then allows the transfer of customized requirements from one branch to another (merge), the comparison of requirements (diff) and the automated check that all requirements along the necessary V-model artifacts (architecture, design, code, tests, test results) are covered (tracing).  To this end, we as OEMs see it as essential to use these so-called ""DocAsCode"" approaches more efficiently directly in the development of ECU software internally as well as along the supply chain. Of course, this does not exempt us from overall systems engineering and model-based development, in any case we consider basic research to be less relevant there.",,,,,,,,Tom Fleischmann,High,,,,,,,,,,,,,,,
OpenDUT ,"- BB-EST, BB-CEST, BB-SC-TC, BB-CSC-TC",- (Explanation: in which Functional Cluster the BB be located; if none of the existing fit new required),- MWLayer,- Github repo: https://github.com/eclipse-opendut/opendut,,"Eclipse openDuT provides an open framework to automate the testing and validation process for automotive software and applications in a reliable, repeatable and observable way. Eclipse openDuT is hardware-agnostic with respect to the execution environment and accompanies different hardware interfaces and standards regarding the usability of the framework. Thereby, it is supporting both on-premise installations and hosting in a cloud infrastructure. Eclipse openDuT considers an eventually distributed network of real (HIL) and virtual devices (SIL) under test. Eclipse openDuT reflects hardware capabilities and constraints along with the chosen test method. Test cases are not limited to a specific domain, but it especially realizes functional and explorative security tests.","Main Use Case are: •	(Fully automated) grey-box tests for single ECUs or clusters of ECUs •	Execution of tests over distributed test benches •	Realization of functional and explorative tests •	Coverage of Complete Security attack scenarios •	Easy interfacing and usability of the framework (Compatibility with external protocols, modularization, …) •	Observation of the test setup to verify if the test has been effective. •	Cloud/on-premises/hybrid deployments •	Adaption and full functional integration of 3rd party components (OSS, proprietary/ private source)","- Reference to e.g. UN/EU CRA Cyber Resilience Act; UNECE 156 - Software update and software update management system  - Reference to defined S-BB(s)  - Reference to e.g. IS026262, AUTOSAR Spec. X",- Link to required BB(s)  E.g. BB-SC StateManagement BB is a composition of other BBs,,"NetBird, Wireguard, TURN Sever, Keycloak, Linux-based OS, Cannelloni for CAN support, telemetry stack (Promtail, Loki, Prometheus, Tempo, Grafana), …","With respect to Safety, Security, Encrypted connections between clients, server and peers",,,,,,,Yes / Apache License Version 2.0,-,,,"We expect to have a certain HW capability and or SW environment or Tool support, or a documentation, or an extra audit, or Test, or Compiler, or Prog. Language, … - Linux development environment,  - Peers & Client: ARM32/64, x86_64 - Server: x86_64 - Programming language: Rust - Test environment: THEO","Other clusters are needed. FC Security, FC Storage, … e.g. If FC Security : Security BBs are  needed but you can choose for example crypto BB-SC from company A or crypto BB-SC from company B; several compositions may work",“No”,- Anonymous + (High/Mid/Low),"If Yes – e.g. The BB should be used/added in the Eclipse Blueprint A – for demo purposes, show added value,  If No – Project Proposal (e.g. WP4 in FEDERATE, or in the SDV EcoSystem Community Framework",Yes / Apache License Version 2.0,-,,
AOSP Push Notification Service,BB-SC,Communication,AppLayer,- <https://novu.co> - <https://unifiedpush.org/>,,"This work package aims to align on a common Android Open Source Project (AOSP) push notification service (PNS). Due to the heterogenous AOSP landscape, the solution shall be defined as a protocol that is designed in a decentralized way allowing implementing parties to choose between hosting their own PNS or using an existing one. To reduce fragmentation and to allow 3rd parties to build once and deploy anywhere, the protocol shall be guaranteed to work regardless of the underlying implementation. To help developers use the new standardized protocol, a reference implementation shall be provided.","Enable 3rd party Android apps to deliver messages, receive incoming VOIP calls or to give updates in a running app.   Lots of apps rely on being able to send messages to their clients to deliver messages or incoming VoIP calls. Because Android apps can be killed by the system at any time, they cannot rely on being able to communicate with their backend to receive these messages. To enable these use cases, a standardized PNS for AOSP (outside of Google Automotive Services GAS) is necessary and will be provided as part of this work package.    Repo: could be an enhancement of repo on <https://github.com/UnifiedPush>,    Technologies: Android Automotive OS, WebPuch Protocol, UnifiedPush.    Partners: COVESA members: [Automotive AOSP App Framework Standardisation Expert Group](https://wiki.covesa.global/display/WIK4/Automotive+AOSP+App+Framework+Standardization+Expert+Group), UnifiedPush","Android Automotive OS, WebPuch Protocol, UnifiedPush",,BB Reference implementation   New standardized protocol,,,,,Anonymous,until 30.6.2025,See Google Automotive Services FAS   <https://github.com/UnifiedPush>   SHIFT2SDV,,,,,,,,,,,,,,
Communication Server (S2S),BB-SC,Communication,,,,Define standard service for secured offboard communication,Standardized the solution,TDB,,,,,,,Conti,Low,,,,,,in discussion,,,,,,,,,
Gateway Mirroring,BB-SC,Communication,MWLayer,,,"Assumption is that the ""traffic shadowing/mirroring concept"" from microservices defined with the Gateway being mirrored instead of specific services necessary for micro services testing. Define standard service for replay of messages and hiding of message and mirroring for test purposes",Useful for simulation and testing. Data format maybe necessary to standardize,TDB,,,,,,,Conti,Low,,,,,,,,,,,,,,,
Network Management,BB-SC,Communication,MWLayer,,,The network management is responsible in connected systems to orchestrate states like startup and shut down through the system. Here the services cover the overall network manager layer but also services for starting/stopping communication of nodes within the systems compare to state management.,General policy on how to use network management with zone architecture especially for communication startup and shutdown,"AUTOSAR (UDPNm, CanNm, FrNm, LinNm)",,,,,,,Conti,High,,,,,,,,,,,,,,,
SecOS,BB-SC,Communication,MWLayer,,,Define standard service for secured onboard communication,Standardized the solution,TDB,[BB_Secure_Onboard_Communication](/BB-SC/MWLayer/Security/BB_Secure_Onboard_Communication.md),,,,,,Conti,Low,,,,,,in discussion,,,,,,,,,
Smart Charging Communication,BB-SC,Communication,MWLayer,<https://lfenergy.org/projects/everest/>,,Implementation of protocols for the smart charging of EVs,Standard service for EV,TDB,,,,,,,Conti,Low,,,,,,,,,,,,,,,
SOME/IP,BB-SC,Communication,MWLayer,- [vSomeIP](https://github.com/COVESA/vsomeip),,SOME/IP implementation.,The building block will be used to allow communication over SOME/IP.,,,,,,,,,,"HAL4SDV, SHIFT2SDV",Yes / vSomeIP - Mozilla Public License Version 2.0,,,<!-- taken over from Eclipse SDV Process  See Definition of Badges and their Flavors  https://gitlab.eclipse.org/eclipse-wg/sdv-wg/sdv-technical-alignment/sdv-technical-topics/sdv-process/sdv-process-definition/-/wikis/Definition%20of%20Badges%20and%20their%20Flavors    | 			| Documentation | Requirements | Coding Guidelines | Testing | Release Process | | --------- |:-------------:|:------------:|:-----------------:|:-------:|:---------------:| | Gold		| Badgelevel    | Badgelevel   | Badgelevel		   | Badgelevel	 | Badgelevel  | | Silver	| Badgelevel    | Badgelevel   | Badgelevel	  	   | Badgelevel	 | Badgelevel  | | Bronze	| Badgelevel   	| Badgelevel   | Badgelevel	       | Badgelevel	 | Badgelevel  | | No		| Badgelevel   	| Badgelevel   | Badgelevel	       | Badgelevel	 | Badgelevel  | | NotDefined| Badgelevel   	| Badgelevel   | Badgelevel	       | Badgelevel	 | Badgelevel  |  Options: NotDefined/No/Bronze/Silver/Gold  Example: | 			| Documentation | Requirements | Coding Guidelines | Testing | Release Process | | --------- |:-------------:|:------------:|:-----------------:|:-------:|:---------------:| | Level		| [Gold](urlToDoc)| No 		   | Notdefined		   | Bronze	 | [Silver](urlToDoc),,,,,,,,,,
Standard Android VHAL,BB-SC,Communication,MWLayer,,,"The standard Android VHAL implementation should be a building block enabling to seamlessly mapping of car data from underlying data middleware to Android Car API.   The solution should be able to use any data middleware using VSS and standard transport protocols enabling get, set, sub, pub, e.g. MQTT, WS. All the standard properties defined by Google shall be reused. All missing properties shall be defined using vendor properties in a standard, cross-OEM way. It should enable VSS to VHAL Property mapping using and updatable mapping file enabling:    a) definition and agreement of vendor mapping cross-OEM   b) OTA updatability   c) OEM specific mappings.",The building block will be used using the standard Google Car API within the Android Framework,- Android Automotive OS - Android VHAL - Android Car API - [COVESA Automotive AOSP App Framework Standardisation](https://covesa.global/aosp-framework/),,BB Reference implementation / API   Standardized way (Vehicle Data mapping),,,,,Anonymous,,SHIFT2SDV,,,,,,,,,,,,,,
CycloneDDS,- BB-SC; BB-MU; BB-CSC; BB-CMU,- Communication,- MWLayer,- https://github.com/eclipse-cyclonedds/cyclonedds,,"Eclipse Cyclone DDS is a very performant and robust open-source implementation of the OMG DDS specification. Cyclone DDS is developed completely in the open as an Eclipse IoT project (see eclipse-cyclone-dds) with a growing list of adopters (if you're one of them, please add your logo). It is a tier-1 middleware for the Robot Operating System ROS 2.",,"- Cyclone DDS aims at full coverage of the specs and today already covers most of this. With references to the individual OMG specifications, the following is available:  *    [DCPS](https://www.omg.org/spec/DDS/1.4/PDF) the base specification       *        zero configuration discovery (if multicast works)      *        publish/subscribe messaging      *        configurable storage of data in subscribers      *        many QoS settings - liveliness monitoring, deadlines, historical data, ...      *        coverage includes the Minimum, Ownership and (partially) Content profiles *    [DDS Security](https://www.omg.org/spec/DDS-SECURITY/1.1/PDF) - providing authentication, access control and encryption -  *    [DDS C++ API](https://www.omg.org/spec/DDS-PSM-Cxx/1.0/PDF) *    [DDS XTypes](https://www.omg.org/spec/DDS-XTypes/1.3/PDF) - the structural type system (some [caveats](https://github.com/eclipse-cyclonedds/cyclonedds/blob/master/docs/dev/xtypes_relnotes.md) here)  *    [DDSI-RTPS](https://www.omg.org/spec/DDSI-RTPS/2.5/PDF) - the interoperable network protocol",- OS/Runtime Envirnoment,,"In order to build Cyclone DDS you need a Linux, Mac or Windows 10 machine (or, with some caveats, a *BSD, QNX, OpenIndiana or a Solaris 2.6 one) with the following installed on your host:  *    C compiler (most commonly GCC on Linux, Visual Studio on Windows, Xcode on macOS); *    Optionally GIT version control system; *    CMake, version 3.16 or later; *    Optionally OpenSSL, we recommend a fully patched and supported version but 1.1.1 will still work; *    Optionally Eclipse Iceoryx version 2.0 for shared memory and zero-copy support; *    Optionally Bison parser generator. A cached source is checked into the repository.",* Real Time * QOS,,,,,- https://projects.eclipse.org/projects/iot.cyclonedds,- YES/Eclipse Public License - v 2.0,,,| 			| Documentation | Requirements | Coding Guidelines | Testing | Release Process | | --------- |:-------------:|:------------:|:-----------------:|:-------:|:---------------:| | Gold		| No		    | Yes/No	   | Yes/No  		   | No		 | No		   | | Silver	| Yes		    | Yes/No	   | Yes/No 		   | Yes	 | No		   | | Bronze	| No	    	| Yes/No	   | Yes/No    		   | No		 | Yes,,,,,,,,,,
embeddedRTPS - DDS for Ressource-constrained environments,"- BB-SC, BB-CSC, BB-MU, BB-CMU",- Communication,- MWLayer,- Github repo: <https://github.com/embedded-software-laboratory/embeddedRTPS>,,"This repository contains source code for embeddedRTPS, a portable and open-source C++ implementation of the Real-Time Publish-Subscribe Protocol (RTPS) for embedded system. RTPS is based on the publish-subscribe mechanism and is at the core of the Data Distribution Service (DDS). DDS is used, among many other applications, in Robot Operating System 2 (ROS2) and is also part of the AUTOSAR Adaptive platform. embeddedRTPS allows to integrate Ethernet-capable microcontrollers into DDS-based systems as first-class participants. embeddedRTPS is portable, as it only consumes lightweightIP and FreeRTOS APIs, which are available for a large number of embedded systems. embeddedRTPS avoids dynamic memory allocation once endpoints are constructed possible. Please note that embeddedRTPS only implements rudimentary Quality-of-Service (QoS) policies and is far from a complete RTPS implementation.",- This light-weight DDS stack allows to integrate ressource constraint devices into SOA architectures. DDS is used as a middleware in AUTOSAR Adaptive and ROS 2.,- https://www.omg.org/spec/DDS/ (deviations from spec.) - https://www.omg.org/spec/DDSI-RTPS/ (implemented partially)  - https://www.omg.org/spec/DDS-SECURITY/ (not implemented in pub version),- FreeRTOS or other OS/Runtime Envirnoment - lwIP (could be another NW Stack),,"See: Example with a getting started for STM32 (Linux/Mac) GCC (Ubuntu 18 and above), Tasking Compiler,   <https://github.com/embedded-software-laboratory/embeddedRTPS-STM32>",- Real-Time - Security,,,,,,,Yes / License MIT,,,,"The Repo include a reference implementation which is executable on different Targets /STM32, AURIX Tricore. Needed: - MW Layer to use it with ROS2 (RMW) or adaptive AUTOSAR (commonAPI support). - Support for Security concepts in the OSS implementation. (see Applicable S-BB(s))",,“No”,- Alexandru Kampmann RWTH - (High/Mid/Low),- <https://github.com/mROS-base/mros2> - <https://github.com/micro-ROS>,Yes / License MIT Commercial Closed Source Parts are available (security),,,
Fast-DDS,- BB-SC; BB-MU; BB-CSC; BB-CMU,- Communication,- MWLayer,- https://github.com/eProsima/Fast-DDS,,"eprosima Fast DDS is a C++ implementation of the DDS (Data Distribution Service) standard of the OMG (Object Management Group). eProsima Fast DDS implements the RTPS (Real Time Publish Subscribe) protocol, which provides publisher-subscriber communications over unreliable transports such as UDP, as defined and maintained by the Object Management Group (OMG) consortium. RTPS is also the wire interoperability protocol defined for the Data Distribution Service (DDS) standard. eProsima Fast DDS expose an API to access directly the RTPS protocol, giving the user full access to the protocol internals.",,,- OS/Runtime Envirnoment,,See [supported Platforms](https://github.com/eProsima/Fast-DDS/blob/master/PLATFORM_SUPPORT.md#platform-support),* Real Time * QOS,,,[eprosima](https://eprosima.com/),,- The most complete DDS - Proven: Plenty of success cases. Looking for commercial support? Contact info@eprosima.com  - https://eprosima.com/,- YES/Apache 2.0,[Fast DDS CLI manual](https://fast-dds.docs.eprosima.com/en/latest/fastddscli/cli/cli.html),,| 			| Documentation | Requirements | Coding Guidelines | Testing | Release Process | | --------- |:-------------:|:------------:|:-----------------:|:-------:|:---------------:| | Gold		| YES		    | Yes/No	   | Yes/No  		   | No		 | No		   | | Silver	| No		    | Yes/No	   | Yes/No 		   | Yes	 | [Yes}(https://github.com/eProsima/Fast-DDS/blob/master/RELEASE_SUPPORT.md)		   | | Bronze	| No	    	| Yes/No	   | Yes/No    		   | No		 | No,,,,,,,,,,
OpenDDS,- BB-SC; BB-MU; BB-CSC; BB-CMU,- Communication,- MWLayer,- https://github.com/OpenDDS/OpenDDS,,"OpenDDS is an open-source C++ implementation of the Object Management Group's specification ""Data Distribution Service for Real-time Systems"" (DDS), as well as some other related specifications. These standards define a set of interfaces and protocols for developing distributed applications based on the publish-subscribe and distributed cache models. Although OpenDDS is itself developed in C++, Java bindings are provided so that Java applications can use OpenDDS. OpenDDS also includes support for the DDS Security and XTypes specifications.",,This release of OpenDDS is based on the DDS Specification formal/2015-04-10 (version 1.4). It features the following transport protocols:  *    TCP/IP *    UDP/IP *    IP multicast *    RTPS over UDP/IP (unicast and multicast) *    Shared memory  RTPS (Interoperability) features are based on the [DDS-RTPS Specification formal/2019-04-03 (version 2.3)](https://www.omg.org/spec/DDSI-RTPS/2.3). See the OpenDDS Developer's Guide and the file [docs/design/RTPS](https://github.com/OpenDDS/OpenDDS/blob/master/docs/design/RTPS) for more details on RTPS.  See the Developer's Guide for information on OpenDDS compliance with the DDS specification. If you would like to contribute a feature or sponsor the developers to add a feature please see the Support section above for contact information.,- OS/Runtime Envirnoment,"These are just the required dependencies. For a complete detailed list of dependencies, including optional ones, see https://opendds.readthedocs.io/en/latest-release/devguide/building/dependencies.html.","Operating Systems  This release of OpenDDS has been tested under the following platforms:  Linux family:  *    Red Hat EL and CentOS 6.6, 6.8, 6.9 (x86_64) *    Red Hat EL and CentOS 7.2, 7.3, 7.4 (x86_64) *    Red Hat EL 8.0 (x86_64) *    Fedora 24 and 31 (x86_64) *    Debian 9.4 (i686) *    Ubuntu 22.04 LTS (x86_64) *    openSUSE 42.1 (x86_64) *    Yocto 3.4.4 (ARMv8)  Windows family:  *   Windows 7 (32-bit, 64-bit) *    Windows Server 2012 R2 (64-bit) *    Windows 10 (64-bit)  Embedded/Mobile/IoT:  *    LynxOS-178 (OpenDDS Safety Profile) *    VxWorks 6.9, 7, 21.03 (see below) *    [Linux on Raspberry Pi](https://opendds.readthedocs.io/en/latest-release/devguide/quickstart/pi.html) *    [Android 9.0 ""Pie"" (API Level 28) NDK r18b](https://opendds.readthedocs.io/en/latest-release/devguide/building/android.html)  We have built OpenDDS for VxWorks 6.9, 7, and 21.03 and have run basic system and performance tests (but not the entire regression test suite). Please see the [OpenDDS Support page](https://opendds.org/support.html) for more information on support for ACE, TAO, and OpenDDS on VxWorks. Download VxWorks RPM packages for ACE, TAO, and OpenDDS [here](https://objectcomputing.com/products/opendds/vxworks).  Compilers  This release of OpenDDS has been tested using the following compilers:  *    Microsoft Visual C++ 10 with SP1 (Visual Studio 2010) *    Microsoft Visual C++ 11 (Visual Studio 2012) - Update 4 *   Microsoft Visual C++ 12 (Visual Studio 2013) - Update 5 *    Microsoft Visual C++ 14 (Visual Studio 2015) - Update 3 *    Microsoft Visual C++ 14.1 (Visual Studio 2017) cl 19.16.27048 *    Microsoft Visual C++ 14.2 (Visual Studio 2019) cl 19.29.30146 *    gcc 4.4.7, 4.8.5 *    gcc 6.2.1, 6.3.0 *    gcc 7.2.0, 7.3.0, 7.5.0 *    gcc 8.2.0, 8.2.1 *    gcc 9.3.1 *    gcc 12.2.0 *    Ubuntu clang 14.0.6 *    Ubuntu clang 15.0.0",* Real Time * QOS,,,,,- OpenDDS is an open source C++ implementation of the Object Management Group (OMG) Data Distribution Service (DDS). OpenDDS also supports Java bindings through JNI.  - http://www.opendds.org/,"- YES/OpenDDS (Licensed Product) is protected by copyright, and is distributed under the following terms.",,,| 			| Documentation | Requirements | Coding Guidelines | Testing | Release Process | | --------- |:-------------:|:------------:|:-----------------:|:-------:|:---------------:| | Gold		| No		    | Yes/No	   | Yes/No  		   | No		 | No		   | | Silver	| Yes		    | Yes/No	   | Yes/No 		   | Yes	 | No		   | | Bronze	| No	    	| Yes/No	   | Yes/No    		   | No		 | Yes,,,,,,,,,,
Local Update Manager,BB-SC,Configuration,,"- AUTOSAR: UCS - but not OSS-usable - higher-level: Eclipse Ankaios, Eclipse Kanto, Eclipse Symphony, Eclipse BlueChi",,"A Local update manager is a local instance of an (OTA) Update master. It is meant to be deployed and operated on distributed vehicle network nodes. It must provide a similar, but limited functionality compared to the OTA master. It shall be able to manage locally backup storage and rollback of software controlled by the OTA Master. The local update manager may become necessary as the OTA master will not or just with complex implementations (which may interfere with the network capabilities and the overall in-vehicle security) be able to deploy SW updates across the vehicle network within a zonal architecture. The Local update manager will deploy/install software in a dedicated local area of the vehicle network under control of the update master. It will ensure also local API for memory control and security services control.","The local update manager may become a ""must-have"" within server/zone architectures to retain the capability to deploy SW updates end-to-end. Especially when there is the need to separate zones for safety/security reasons, the local update manager will be mandatory.",TDB,,,,,,,Conti,High,,,,,,,,,,,,,,,
OTA Master,BB-SC,Configuration,MWLayer,"- AUTOSAR: UCS - but not OSS-usable - higher-level: Eclipse Ankaios, Eclipse Kanto, Eclipse Symphony, Eclipse BlueChi",,"The OTA master is a central SWC to deploy OTA SW updates within the vehicle network. Besides the basic functionality of SW installation, it implements the necessary failsafe or failover behavior to ensure the robustness of the update process (such as backup and rollover mechanism). In addition, it must manage and verify the integrity of the installed SW after it has been transferred from the backend, potentially even before installing the SW. It also coordinates local OTA salves distributed in the vehicle, by self-contained interface and command control. As a prerequisite for a successful update, the update master has also to be capable to read the vehicle configuration and control reprogramming history.","Existing, IoT based implementations of OTA Master will not carry over to zonal architectures as they - if ever - have limited ability to deploy SW across servers and zone controllers within the vehicle network. Scaling is an issue as well, as those solutions usually need continuous backend connection during the update process, thus demanding a highly scalable, costly backend infrastructure to deploy SW updates OTA for a bigger fleet. A UCM Master enables the use of standardized interfaces and Software components for OTA updates within upcoming EE architectures. A POSIX based update master can be a reasonable replacement in non-AUTOSAR environments when it implements the same basic mechanism as an UCM master.",OTA master POSIX   OTA master ASR Adaptive (UCM Master),,,,,,,Conti,High,,,,,,,,,,,,,,,
Policy Manager,BB-SC,Diagnostics,MWLayer,,,"Diagnostic service applications are interpreted as the diagnostic services according to ISO 14229. Define service at vehicle level to control different access level or different permission. Each level requires previous authentication, where authentication, can remain vehicle specific.",Establish a common concept,ISO 14229,,,,,,,Conti,Low,,,,,,in discussion,,,,,,,,,
Distributed Health Management,BB-SC,Platform Health Management,MWLayer,<https://opentelemetry.io>,,"Distributed health management like state management must be orchestrated in states through the SW Partitions, subsystems, and systems as well as the reaction to ""unhealthiness"" of the system. Define services and hierarchy of services to handled cascading of failure detection and recovery to easily integrate safety concept.","Services is tightly coupled to the safety concept, which is depending on the hardware capabilities and the functional safety goals. Therefore, the concrete instantiation of a distributed health management concept is highly product specific, but the infrastructure how to exchange health information and how to trigger status changes could be standardized.",AUTOSAR Classic   AUTOSAR Adaptive,,,,,,,Conti,Low,,,,,,,,,,,,,,,
